"","species","weight"
"1","SOTR",4
"2","PEMA",16.5
"3","GLSA",167
"4","MIOR",13
"5","PEMA",14
"6","GLSA",142
"7","GLSA",147
"8","GLSA",139
"9","GLSA",93
"10","PEMA",15
"11","PEMA",10
"12","GLSA",139
"13","SOTR",5
"14","PEMA",15
"15","GLSA",131
"16","GLSA",151
"17","PEMA",15
"18","PEMA",14
"19","PEMA",13
"20","PEMA",17
"21","PEMA",14
"22","PEMA",16
"23","PEMA",15
"24","PEMA",17
"25","PEMA",22
"26","PEMA",17
"27","PEMA",19
"28","PEMA",17
"29","PEMA",16
"30","PEMA",15
"31","SOTR",6.5
"32","PEMA",15
"33","PEMA",17.5
"34","PEMA",16
"35","PEMA",18
"36","SCOR",58
"37","CLCA",19
"38","PEMA",16
"39","PEMA",17
"40","PEMA",19
"41","PEMA",15.5
"42","PEMA",18
"43","PEMA",16
"44","PEMA",18.5
"45","PEMA",17
"46","PEMA",12.1
"47","PEMA",17
"48","PEMA",17
"49","PEMA",16
"50","PEMA",15
"51","PEMA",16
"52","PEMA",18
"53","PEMA",20
"54","PEMA",16
"55","PEMA",19
"56","PEMA",16.4
"57","ZATR",26.5
"58","PEMA",14.5
"59","PEMA",30
"60","PEMA",29.5
"61","PEMA",15.5
"62","SOTR",4.5
"63","PEMA",12
"64","PEMA",15
"65","PEMA",14.5
"66","PEMA",15.5
"67","PEMA",11
"68","PEMA",16
"69","PEMA",12
"70","PEMA",21.5
"71","PEMA",12.5
"72","PEMA",17.5
"73","PEMA",11.9
"74","PEMA",15
"75","GLSA",149
"76","PEMA",13
"77","PEMA",15.4
"78","PEMA",12
"79","PEMA",16.4
"80","SOTR",4
"81","GLSA",127
"82","GLSA",129
"83","PEMA",20
"84","PEMA",19.7
"85","PEMA",13.5
"86","PEMA",15.8
"87","PEMA",15
"88","GLSA",131
"89","SOTR",5.2
"90","PEMA",15
"91","SOTR",5.5
"92","GLSA",104
"93","CLCA",18.3
"94","GLSA",149
