"","species","weight"
"1","OCHPRI",181
"2","OCHPRI",177
"3","OCHPRI",185
"4","OCHPRI",169
"5","OCHPRI",187
"6","OCHPRI",108
"7","OCHPRI",165
"8","OCHPRI",152
"9","OCHPRI",175
"10","OCHPRI",165
"11","OCHPRI",158
"12","OCHPRI",120
"13","OCHPRI",134
"14","OCHPRI",160
"15","OCHPRI",155
"16","OCHPRI",159
"17","OCHPRI",65
"18","OCHPRI",180
"19","OCHPRI",141
"20","OCHPRI",162
"21","OCHPRI",70
"22","OCHPRI",143
"23","OCHPRI",168
"24","OCHPRI",132
"25","OCHPRI",179
"26","OCHPRI",179
"27","OCHPRI",78
"28","OCHPRI",89
"29","OCHPRI",179
"30","OCHPRI",153
"31","OCHPRI",160
"32","OCHPRI",80
"33","OCHPRI",147
"34","OCHPRI",162
"35","OCHPRI",173
"36","OCHPRI",154
"37","OCHPRI",104
"38","OCHPRI",49
"39","OCHPRI",76
"40","OCHPRI",77
"41","OCHPRI",167
"42","PERMAN",21.5
"43","PERMAN",23
"44","PERMAN",27
"45","PERMAN",24
"46","PERMAN",19
"47","PERMAN",21.2
"48","OCHPRI",65
"49","OCHPRI",86
"50","OCHPRI",106
"51","OCHPRI",58
"52","MICLON",26
"53","OCHPRI",150
"54","OCHPRI",82
"55","CLEGAP",26
"56","OCHPRI",78
"57","OCHPRI",76
"58","OCHPRI",143
"59","OCHPRI",165
"60","OCHPRI",166
"61","OCHPRI",170
"62","OCHPRI",159
"63","OCHPRI",114
"64","OCHPRI",144
"65","OCHPRI",160
"66","OCHPRI",156
"67","OCHPRI",160
"68","OCHPRI",166
"69","OCHPRI",129
"70","OCHPRI",146
"71","OCHPRI",165
"72","OCHPRI",171
"73","OCHPRI",178
"74","OCHPRI",134
"75","OCHPRI",145
"76","OCHPRI",172
"77","OCHPRI",150
"78","OCHPRI",115
"79","OCHPRI",112
"80","OCHPRI",136
"81","OCHPRI",162
"82","OCHPRI",155
"83","OCHPRI",116
"84","OCHPRI",159
"85","OCHPRI",110
"86","OCHPRI",127
"87","OCHPRI",130
"88","MICLON",33
"89","OCHPRI",92
"90","OCHPRI",134
"91","OCHPRI",162
"92","MICLON",38
"93","MICLON",32
"94","MICLON",14.5
"95","MICLON",38
"96","MICLON",28
"97","MICLON",25
"98","MICLON",29.9
"99","MICLON",41
"100","MICLON",38
"101","MICLON",40.5
"102","MICLON",36
"103","OCHPRI",143
"104","OCHPRI",145
"105","OCHPRI",124
"106","OCHPRI",81
"107","OCHPRI",143
"108","OCHPRI",140
"109","OCHPRI",176
"110","OCHPRI",158
"111","PERMAN",25.8
"112","PERMAN",20.7
"113","PERMAN",13.4
"114","PERMAN",23.4
"115","PERMAN",22.4
"116","PERMAN",24.5
"117","EUTMIN",35.5
"118","MICLON",13.2
"119","OCHPRI",138
"120","OCHPRI",140
"121","OCHPRI",144
"122","OCHPRI",128
"123","OCHPRI",137
"124","OCHPRI",165
"125","PERMAN",9.3
"126","PERMAN",13
"127","PERMAN",22.8
"128","PERMAN",17.8
"129","PERMAN",23
"130","PERMAN",18.9
"131","PERMAN",21.6
"132","PERMAN",22.4
"133","PERMAN",18.1
"134","PERMAN",21.7
"135","PERMAN",19.9
"136","PERMAN",11.5
"137","MICLON",11.7
"138","MICLON",31
"139","OCHPRI",137
"140","OCHPRI",144
"141","PERMAN",19.6
"142","PERMAN",13.4
"143","PERMAN",24.1
"144","PERMAN",18.8
"145","PERMAN",14.7
"146","PERMAN",23.2
"147","PERMAN",20.8
"148","PERMAN",22.7
"149","PERMAN",18.2
"150","PERMAN",24.5
"151","PERMAN",11.7
"152","PERMAN",13.1
"153","OCHPRI",137
"154","OCHPRI",110
"155","OCHPRI",130
"156","PERMAN",20
"157","PERMAN",10.5
"158","PERMAN",9.6
"159","PERMAN",20.2
"160","PERMAN",21.5
"161","PERMAN",22.1
"162","PERMAN",12.4
"163","PERMAN",19.1
"164","PERMAN",20.7
"165","PERMAN",15
"166","PERMAN",17.8
"167","PERMAN",16.6
"168","PERMAN",23.8
"169","PERMAN",18
"170","PERMAN",15.7
"171","PERMAN",21.5
"172","PERMAN",11.3
"173","PERMAN",25.8
"174","PERMAN",22.2
"175","PERMAN",23.8
"176","PERMAN",23.4
"177","PERMAN",23.6
"178","PERMAN",13.7
"179","PERMAN",19.4
"180","PERMAN",10.3
"181","PERMAN",23
"182","PERMAN",14.5
"183","PERMAN",24.3
"184","PERMAN",15.5
"185","PERMAN",20.8
"186","PERMAN",22
"187","PERMAN",22.7
"188","PERMAN",19
"189","PERMAN",12.5
"190","PERMAN",23.5
"191","PERMAN",18.1
"192","PERMAN",20.1
"193","PERMAN",22.7
"194","PERMAN",21.6
"195","PERMAN",18.8
"196","PERMAN",17.2
"197","PERMAN",10.7
"198","PERMAN",19.5
"199","PERMAN",17.2
"200","PERMAN",10.8
"201","PERMAN",16.8
"202","PERMAN",12.8
"203","PERMAN",14.3
"204","PERMAN",14.1
"205","PERMAN",20.3
"206","PERMAN",9.8
"207","PERMAN",11
"208","PERMAN",22
"209","PERMAN",17.5
"210","PERMAN",23.8
"211","PERMAN",19.8
"212","PERMAN",18.2
"213","PERMAN",18.3
"214","PERMAN",11.4
"215","PERMAN",19
"216","PERMAN",14
"217","PERMAN",10.8
"218","PERMAN",22.7
"219","PERMAN",17.4
"220","PERMAN",21.6
"221","PERMAN",15.2
"222","PERMAN",20.2
"223","PERMAN",14.2
"224","PERMAN",17.3
"225","PERMAN",12.1
"226","PERMAN",17.7
"227","PERMAN",17.4
"228","PERMAN",20.8
"229","PERMAN",21.7
"230","PERMAN",8.4
"231","PERMAN",12.5
"232","PERMAN",16.5
"233","PERMAN",20.7
"234","PERMAN",16.9
"235","PERMAN",22.1
"236","PERMAN",10.1
"237","PERMAN",19.7
"238","PERMAN",14.6
"239","PERMAN",11.8
"240","PERMAN",22
"241","PERMAN",15
"242","PERMAN",9.5
"243","PERMAN",12
"244","PERMAN",17
"245","PERMAN",11
"246","PERMAN",21
"247","PERMAN",14
"248","PERMAN",16
"249","PERMAN",24.7
"250","PERMAN",14.3
"251","PERMAN",15.8
"252","PERMAN",23
"253","PERMAN",21.2
"254","PERMAN",15.9
"255","PERMAN",16.2
"256","PERMAN",11.7
"257","PERMAN",15.4
"258","PERMAN",11.5
"259","PERMAN",20.2
"260","PERMAN",13.9
"261","PERMAN",19.1
"262","PERMAN",21.3
"263","PERMAN",16
"264","PERMAN",17.3
"265","PERMAN",11.4
"266","PERMAN",20.4
"267","PERMAN",13
"268","PERMAN",17.3
"269","PERMAN",18.1
"270","PERMAN",18.3
"271","PERMAN",16.6
"272","PERMAN",19
"273","PERMAN",14
"274","PERMAN",13
"275","PERMAN",12.9
"276","PERMAN",12.9
"277","PERMAN",16.9
"278","PERMAN",14.4
"279","PERMAN",18.8
"280","PERMAN",18.3
"281","PERMAN",18.1
"282","PERMAN",15.2
"283","PERMAN",19.3
"284","PERMAN",20
"285","PERMAN",13.7
"286","PERMAN",19.2
"287","PERMAN",13.6
"288","PERMAN",16.1
"289","PERMAN",19.3
"290","PERMAN",17
"291","PERMAN",16.4
"292","PERMAN",15
"293","PERMAN",15.2
"294","PERMAN",13
"295","PERMAN",19.5
"296","PERMAN",15
"297","PERMAN",16.5
"298","PERMAN",18.7
"299","PERMAN",17
"300","PERMAN",13.2
"301","CLEGAP",18.9
"302","CLEGAP",23.6
"303","CLEGAP",19
"304","CLEGAP",19.6
"305","CLEGAP",20.5
"306","EUTMIN",39
"307","EUTMIN",35
"308","EUTUMB",36
"309","EUTUMB",36.1
"310","EUTUMB",44
"311","EUTUMB",45.5
"312","EUTUMB",35.5
"313","PERMAN",18.7
"314","PERMAN",19
"315","PERMAN",30
"316","PERMAN",23
"317","PERMAN",28
"318","PERMAN",15
"319","PERMAN",23.5
"320","PERMAN",25
"321","PERMAN",18.5
"322","PERMAN",20.5
"323","PERMAN",17.5
"324","PERMAN",17
"325","PERMAN",17
"326","PERMAN",21.5
"327","PERMAN",14.5
"328","PERMAN",18.5
"329","PERMAN",17
"330","PERMAN",28
"331","OCHPRI",136
"332","OCHPRI",156
"333","OCHPRI",163
"334","OCHPRI",163
"335","OCHPRI",163
"336","OCHPRI",156
"337","OCHPRI",142
"338","OCHPRI",160
"339","ZAPPRI",25.5
"340","OCHPRI",142
"341","OCHPRI",143
"342","PERMAN",21.5
"343","PHENIN",25
"344","ZAPPRI",22.5
"345","ZAPPRI",24
"346","OCHPRI",174
"347","OCHPRI",144
"348","PERMAN",14
"349","PERMAN",22
"350","PERMAN",23
"351","PERMAN",15
"352","PERMAN",14.3
"353","OCHPRI",150
"354","OCHPRI",154
"355","OCHPRI",178
"356","OCHPRI",141
"357","OCHPRI",141
"358","OCHPRI",165
"359","PERMAN",15.5
"360","PERMAN",14
"361","PERMAN",14.5
"362","PERMAN",23.5
"363","ZAPPRI",28.4
"364","ZAPPRI",25.3
"365","ZAPPRI",22.5
"366","ZAPPRI",26.2
"367","PERMAN",18.5
"368","PERMAN",17
"369","ZAPPRI",18.6
"370","PERMAN",18
"371","PERMAN",15
"372","ZAPPRI",26.2
"373","ZAPPRI",23.6
"374","ZAPPRI",23.5
"375","ZAPPRI",25.4
"376","ZAPPRI",29.5
"377","CLEGAP",19
"378","CLEGAP",19
"379","MICLON",35.7
"380","OCHPRI",180
"381","PERMAN",20.3
"382","PERMAN",15.4
"383","PERMAN",27.5
"384","PERMAN",24.6
"385","PERMAN",23
"386","PERMAN",22.3
"387","PERMAN",18.6
"388","PERMAN",20.7
"389","PERMAN",26.5
"390","PERMAN",25
"391","PERMAN",17
"392","PERMAN",14.5
"393","PERMAN",15
"394","PERMAN",29
"395","PERMAN",21
"396","ZAPPRI",23.5
"397","ZAPPRI",24.1
"398","CLEGAP",20.5
"399","EUTMIN",45.5
"400","MICMON",23.5
"401","OCHPRI",158
"402","OCHPRI",165
"403","OCHPRI",182
"404","OCHPRI",145
"405","OCHPRI",58
"406","PERMAN",19
"407","PERMAN",24.2
"408","PERMAN",18.5
"409","PERMAN",15.3
"410","PERMAN",28
"411","PERMAN",26
"412","PERMAN",16
"413","PERMAN",23
"414","PERMAN",23
"415","PERMAN",13.5
"416","PERMAN",19
"417","PERMAN",19.5
