"","species","wgt"
"1","PF",9
"2","PF",8
"3","DM",40
"4","DM",29
"5","DM",46
"6","PF",8
"7","DM",41
"8","PF",9
"9","DM",40
"10","DM",46
"11","PF",8
"12","DM",37
"13","DM",39
"14","DM",34
"15","DM",48
"16","DM",36
"17","DM",35
"18","DM",42
"19","DO",52
"20","PF",7
"21","DM",22
"22","DM",45
"23","DM",42
"24","PP",15
"25","DM",41
"26","DM",31
"27","DM",40
"28","DM",40
"29","DM",45
"30","DM",29
"31","DM",42
"32","DM",43
"33","DM",41
"34","DM",30
"35","DM",43
"36","DM",39
"37","DM",41
"38","DM",46
"39","DM",40
"40","DM",42
"41","PF",4
"42","DM",51
"43","DM",44
"44","PE",19
"45","PP",15
"46","DM",45
"47","DM",39
"48","PF",9
"49","DM",42
"50","DM",46
"51","DM",45
"52","DM",42
"53","DM",36
"54","DM",34
"55","PF",7
"56","DM",50
"57","DM",45
"58","DM",29
"59","DM",46
"60","DM",53
"61","PP",16
"62","DM",44
"63","DM",40
"64","DM",34
"65","DM",44
"66","DM",48
"67","DM",44
"68","DM",45
"69","DM",51
"70","DM",45
"71","DM",49
"72","DM",46
"73","DM",41
"74","DM",46
"75","DM",37
"76","DM",48
"77","DM",42
"78","DM",44
"79","DM",40
"80","DM",35
"81","DM",37
"82","DM",41
"83","DM",33
"84","DM",48
"85","DM",36
"86","PF",8
"87","DM",40
"88","DM",38
"89","DM",53
"90","DM",39
"91","DM",49
"92","DM",47
"93","DM",41
"94","DM",55
"95","OL",21
"96","DM",42
"97","DM",43
"98","DM",45
"99","DM",44
"100","DM",41
"101","DM",45
"102","DM",46
"103","OL",21
"104","DM",36
"105","DO",41
"106","DM",49
"107","DM",44
"108","DM",41
"109","DM",42
"110","PF",8
"111","DM",40
"112","DM",41
"113","DM",39
"114","DM",47
"115","DM",42
"116","DM",44
"117","DM",47
"118","DM",40
"119","DM",45
"120","DM",41
"121","DM",48
"122","OT",21
"123","DO",48
"124","DM",29
"125","DM",39
"126","OL",23
"127","DO",31
"128","DM",50
"129","DM",37
"130","DM",46
"131","DM",39
"132","DM",43
"133","PE",20
"134","DM",41
"135","DM",42
"136","OT",21
"137","DM",36
"138","DM",40
"139","DO",44
"140","DS",121
"141","DM",35
"142","PF",7
"143","DO",48
"144","DM",36
"145","DM",47
"146","DM",44
"147","DM",40
"148","DS",107
"149","DS",115
"150","DS",116
"151","DS",137
"152","DM",42
"153","DS",126
"154","DM",41
"155","DM",40
"156","DM",36
"157","PF",6
"158","DS",112
"159","DO",39
"160","DS",117
"161","DM",46
"162","PF",7
"163","DM",40
"164","PF",6
"165","DS",120
"166","DS",126
"167","DM",37
"168","DM",39
"169","PF",7
"170","DS",122
"171","DM",40
"172","DM",38
"173","DM",44
"174","PF",7
"175","DM",40
"176","DM",44
"177","DS",113
"178","DM",43
"179","DM",40
"180","DM",38
"181","DS",118
"182","DM",40
"183","DS",132
"184","RM",7
"185","DM",39
"186","DM",40
"187","DM",44
"188","DM",39
"189","DS",115
"190","DM",39
"191","DM",45
"192","DM",35
"193","DM",38
"194","PF",7
"195","DO",45
"196","DM",38
"197","DM",42
"198","DM",52
"199","DM",37
"200","DM",47
"201","DM",43
"202","DS",134
"203","DS",118
"204","PF",6
"205","DS",110
"206","DS",139
"207","DM",43
