"","species","weight"
"1","pgfv",5
"2","remg",9
"3","dior",50
"4","remg",10
"5","pgfv",6
"6","pgfv",7.5
"7","onar",22
"8","spsp",109
"9","disp",98
"10","pgfv",6.5
"11","dior",46
"12","pgfv",5
"13","pgfv",7
"14","dior",36
"15","neal",7.5
"16","dior",51.5
"17","pgfv",8
"18","pgfv",7.5
"19","dior",27
"20","dior",45
"21","dior",42
"22","pgfv",7
"23","dior",24
"24","dior",22
"25","dior",47.5
"26","pgfv",6.5
"27","pgfv",7.5
"28","dior",27
"29","pgfv",5
"30","disp",102
"31","dior",44.5
"32","dior",36
"33","pgfv",8
"34","pgfv",6
"35","remn",8
"36","spsp",103
"37","pgfv",7
"38","dior",50
"39","dior",52
"40","pgfv",6
"41","spsp",112
"42","remg",10.5
"43","pgfv",7
"44","dior",46
"45","pgfv",8
"46","dior",49
"47","dior",34
"48","dior",40
"49","dior",55
"50","dior",47
"51","pgfv",8
"52","spsp",100
"53","pgfv",7
"54","dior",43.5
"55","dior",51
"56","onar",21
"57","pgfv",6.5
"58","remg",7
"59","dior",41.5
"60","pgfv",6
"61","dior",46
"62","pgfv",8
"63","dior",52
"64","pgfv",8
"65","pgfv",8
"66","disp",120
"67","dior",44
"68","pgfv",8.5
"69","pgfv",8
"70","pgfv",7
"71","dior",49
"72","pgfv",7
"73","disp",82
"74","onar",20
"75","dime",20
"76","dime",20
"77","dior",47
"78","remg",10
"79","pgfv",8
"80","pgfv",8
"81","dior",48
"82","pgfv",5
"83","dior",39.5
"84","spsp",100
"85","disp",125
"86","pgfv",6
"87","spsp",50
"88","pgfv",7
"89","pgfv",7
"90","remg",6.5
"91","dior",49
"92","pgfv",7
"93","pgfv",7
"94","pgfv",8
"95","pgfv",6
"96","disp",80
"97","pgfv",7
"98","spsp",100
"99","nemi",75
"100","dior",48
"101","disp",130
"102","pgfv",8
"103","remg",4
"104","pgfv",7
"105","onar",11
"106","pgfv",11
"107","disp",140
"108","spsp",105
"109","dior",51
"110","pgfv",5
"111","pgfv",3
"112","remn",7
"113","pgfv",5
"114","dior",50
"115","pgfv",6.5
"116","remn",9
"117","spsp",74
"118","onar",22
"119","pgfv",7
"120","dior",37
"121","disp",120
"122","dior",43
"123","pgfv",7
"124","pgfv",8
"125","dior",53
"126","pgfv",6
"127","dior",50
"128","spsp",90
"129","pgfv",9
"130","disp",110
"131","dior",31
"132","disp",100
"133","dior",38
"134","dior",49
"135","dior",45
"136","dior",51
"137","pgfv",6
"138","pgfv",6
"139","disp",100
"140","dior",49
"141","dior",49
"142","pgfv",6
"143","dior",56
"144","pgfv",7
"145","pgfv",5.5
"146","pgfv",7
"147","dior",51
"148","pgfv",7
"149","pgfv",6.5
"150","pgfv",7
"151","dior",47
"152","pgfv",6.5
"153","pgfv",8
"154","pgfv",7
"155","pgfv",4
"156","pgfv",5
"157","pgfv",4
"158","dior",47
"159","remn",6
"160","dior",42
"161","pgfv",7
"162","dime",55
"163","spsp",66
"164","remn",4
"165","pgfv",7
"166","remn",8
"167","disp",110
"168","spsp",100
"169","pgfv",8.5
"170","pgfv",5
"171","dior",47
"172","pgfv",5.5
"173","dior",35
"174","spsp",99
"175","onar",16
"176","dior",46
"177","pgfv",8
"178","dior",48
"179","remg",6
"180","pgfv",8
"181","pgfv",6
"182","spsp",110
"183","pgfv",9
"184","pgfv",6
"185","dior",48
"186","disp",140
"187","pgfv",8
"188","pgfv",6
"189","onar",16
"190","dior",50
"191","disp",100
"192","disp",110
"193","pgfv",8
"194","pgfv",8
"195","pgfv",7.5
"196","remn",9
"197","remn",8
"198","dior",54
"199","pgfv",3
"200","dior",42
"201","dior",48
"202","dior",51
"203","disp",100
"204","dior",44
"205","dior",56
"206","dior",53
"207","onar",10
"208","dior",34
"209","pgfv",7
"210","disp",100
"211","pgfv",7
"212","pgfv",6
"213","pgfv",7
"214","dior",54
"215","pgfv",5
"216","onar",23
"217","pgfv",8
"218","spsp",90
"219","dior",45
"220","dior",52
"221","pgfv",8
"222","spsp",100
"223","dior",60
"224","pgfv",5
"225","dior",45
"226","disp",80
"227","disp",100
"228","disp",100
"229","dior",39
"230","dior",52
"231","dior",43
"232","onar",32
"233","dior",53
"234","pgfv",7
"235","pgfv",6
"236","dior",51
"237","disp",100
"238","disp",100
"239","disp",100
"240","pgfv",9
"241","onar",23
"242","dior",48
"243","pgfv",6
"244","dior",42
"245","dior",52
"246","pgfv",8
"247","disp",100
"248","dime",55
"249","dior",53
"250","disp",72
"251","pgfv",8
"252","dior",40
"253","dior",39
"254","dior",52
"255","disp",100
"256","dior",44
"257","dior",44.5
"258","dior",51.5
"259","pgfv",7
"260","dior",55
"261","dior",52
"262","dior",47
"263","dior",48
"264","dime",45
"265","dior",50
"266","disp",100
"267","disp",100
"268","disp",100
"269","dior",51
"270","spsp",100
"271","spsp",97
"272","spsp",26
"273","dior",39
"274","dior",54
"275","pgfv",7
"276","disp",100
"277","dior",53
"278","dior",39
"279","disp",100
"280","dior",49
"281","pgfv",8.5
"282","dior",42
"283","spsp",31.5
"284","spsp",27.5
"285","dior",44
"286","pgfv",8
"287","dior",38
"288","spsp",100
"289","disp",100
"290","pgfv",6.5
"291","pmle",17
"292","disp",118
"293","disp",68
"294","disp",126
"295","dior",41
"296","dior",30
"297","dior",42
"298","disp",62
"299","pgfv",5
"300","pgfv",8
"301","onar",15
"302","disp",64
"303","spsp",97
"304","disp",126
"305","disp",111
"306","pgfv",7
"307","disp",142
"308","pgfv",7
