"","species","weight"
"1","dime",45
"2","dime",46
"3","onar",18
"4","dime",45
"5","onar",22
"6","dime",39
"7","chin",8
"8","dime",49
"9","dime",43
"10","dime",38
"11","dime",29
"12","dime",46
"13","chin",9
"14","dime",41
"15","dime",43
"16","dime",35
"17","dime",38
"18","dime",36
"19","disp",109
"20","dime",50
"21","dime",42
"22","dime",33
"23","dime",43
"24","dime",37
"25","neal",104
"26","pgfv",14
"27","dime",45
"28","dime",38
"29","dime",39
"30","dior",40
"31","dime",28.5
"32","onar",28
"33","dime",39
"34","dime",37
"35","dime",28
"36","dime",40
"37","onar",20
"38","dime",40
"39","dime",37
"40","disp",98
"41","dime",32
"42","dime",45
"43","dime",32
"44","dime",41
"45","dime",36
"46","dime",38
"47","pgfv",7.5
"48","disp",148
"49","dime",40
"50","dime",42
"51","dime",33.5
"52","pgfv",7
"53","pgfv",7
"54","dime",37
"55","dime",27
"56","dime",41
"57","dime",37
"58","pgfv",7
"59","dime",48
"60","onar",29
"61","nemi",70
"62","nemi",64
"63","dime",41
"64","pgfv",6
"65","remg",9
"66","dime",40
"67","dime",45
"68","dime",45
"69","onar",35
"70","dime",38
"71","dime",44
"72","dime",43
"73","dime",44
"74","dime",45
"75","dime",19
"76","dime",20
"77","dime",47
"78","dime",47
"79","onar",20
"80","dime",39
"81","dime",44
"82","dime",42
"83","onar",20
"84","dime",42
"85","dime",45
"86","dime",54
"87","pgfv",8
"88","dime",45
"89","dime",41
"90","pgfv",7
"91","disp",86
"92","disp",89
"93","dime",42
"94","dime",40
"95","disp",92
"96","dime",38
"97","disp",110
"98","dime",43
"99","pgfv",5
"100","dime",49
"101","dime",45
"102","dime",40
"103","dime",38
"104","disp",130
"105","pgfv",7
"106","dime",52
"107","dime",42
"108","dime",36
"109","pmle",22
"110","dime",45
"111","disp",100
"112","dime",43
"113","dime",41
"114","remg",17
"115","chin",16
"116","dime",46
"117","dime",41
"118","pgfv",5
"119","dime",32
"120","dime",44
"121","dime",46
"122","onar",26
"123","disp",75
"124","dime",41
"125","dime",42
"126","dime",40
"127","dime",38
"128","dime",44
"129","dime",29
"130","dime",44
"131","pgfv",8
"132","dime",44
"133","onar",10
"134","dime",41
"135","dime",37
"136","pgfv",6
"137","pgfv",7
"138","dime",42
"139","dime",40
"140","dime",39
"141","dime",47
"142","pgfv",7
"143","dime",43
"144","dime",28
"145","pgfv",7
"146","dime",42
"147","remg",8.5
"148","disp",100
"149","remg",7.5
"150","pgfv",7
"151","pgfv",8.5
"152","pgfv",7
"153","dime",41
"154","dime",41
"155","pgfv",6.5
"156","pgfv",6
"157","pgfv",7
"158","dime",46
"159","dime",38
"160","onar",17
"161","dime",39
"162","pgfv",7.5
"163","dime",40
"164","pgfv",5
"165","neal",130
"166","pgfv",8
"167","dime",44
"168","onar",28
"169","pgfv",5
"170","dime",35
"171","dime",42
"172","dime",39
"173","remg",7
"174","pgfv",7.5
"175","dime",42
"176","dime",43
"177","pgfv",6
"178","pgfv",7
"179","pgfv",7
"180","dime",41
"181","pgfv",7.5
"182","dime",46
"183","dime",44
"184","dime",42
"185","dime",41
"186","dime",35
"187","disp",100
"188","dime",36
"189","pgfv",7.5
"190","disp",150
"191","onar",22
"192","dime",49
"193","dime",34
"194","dime",45
"195","dime",39
"196","dime",42
"197","dime",47
"198","pgfv",7
"199","pgfv",6.5
"200","dime",35
"201","chin",14
"202","dime",41
"203","pgfv",8
"204","disp",100
"205","dime",40
"206","dime",41
"207","dime",30
"208","dime",31
"209","disp",78
"210","dime",41
"211","dime",39
"212","pgfv",7
"213","pgfv",6
"214","pgfv",7
"215","dime",51
"216","dime",47
"217","pgfv",6
"218","dime",37
"219","dime",46
"220","pgfv",5
"221","dime",35
"222","dime",41
"223","dime",38
"224","onar",15
"225","dime",39
"226","dime",38
"227","dime",40
"228","dime",36
"229","dime",30
"230","dime",33
"231","dime",42
"232","pgfv",8
"233","dime",35
"234","pgfv",6
"235","pgfv",7
"236","dime",30
"237","pgfv",6.5
"238","dime",43
"239","dime",30
"240","dime",47
"241","pgfv",6.5
"242","dime",42
"243","dime",36
"244","onar",24
"245","dime",42
"246","dime",44
"247","pgfv",7
"248","disp",100
"249","pgfv",7
"250","dime",30
"251","dime",40
"252","dime",30
"253","dime",39
"254","dime",34
"255","pgfv",8
"256","dime",42
"257","disp",90
"258","pmer",18
"259","dime",42
"260","pmer",22
"261","onar",26
"262","dime",26
"263","dime",38
"264","dime",43
"265","pgfv",6
"266","dime",48
"267","disp",100
"268","dime",49
"269","dime",38
"270","pgfv",8
"271","dime",42
"272","dime",44
"273","pgfv",7
"274","dime",43.5
"275","dime",42
"276","dime",44
"277","dime",45
"278","dior",41
"279","pgfv",7
"280","dime",40
"281","dime",47
"282","disp",100
"283","dime",50
"284","dime",45
"285","disp",100
"286","dime",41
"287","dime",45
"288","dime",45
"289","dime",42
"290","dime",41
"291","dime",42
"292","dime",40
"293","dime",40
"294","dime",45
"295","dime",40
"296","dime",39
"297","dime",44
"298","onar",36
"299","dime",41
"300","dime",45
"301","dime",45
"302","dime",41
"303","dime",38
"304","dime",42
"305","disp",100
"306","dime",38
"307","dime",43
"308","dime",40.5
"309","dime",39
"310","disp",100
"311","dime",45
"312","dime",38
"313","disp",100
"314","dime",43
"315","dime",36
"316","dime",38
"317","dime",37
"318","dime",49
"319","dime",42
"320","dime",34
"321","disp",100
"322","dime",41
"323","pgfv",6.5
"324","dime",46
"325","pmer",21
"326","dime",30
"327","dime",43.5
"328","dime",38
"329","dime",36
"330","dime",45
"331","dime",40
"332","dime",45
"333","dime",40
"334","dime",40
"335","dime",42
"336","dime",46
"337","dime",31
"338","dime",37
"339","dime",33
"340","dime",29
"341","pgfv",2
"342","disp",100
"343","dime",35
"344","dime",30
"345","dime",46
"346","dime",44
"347","dime",43
"348","dime",45
"349","dime",38
"350","dime",35
"351","disp",100
"352","dime",21
"353","dime",46
"354","dime",43
"355","dime",28
"356","dime",39
"357","dime",40
"358","dime",41
"359","pmer",16
"360","dime",38
"361","dime",25
"362","disp",100
"363","dime",43
"364","dime",42
"365","dime",40
"366","dime",29
"367","disp",100
"368","dime",30
"369","dime",38
"370","dime",38
"371","onar",19
"372","dime",37
"373","dime",36.5
"374","dime",38
"375","dime",36
"376","dime",40
"377","dime",33
"378","dime",37
"379","dime",40
"380","neal",100
"381","dime",32
"382","pmtr",18
"383","pmtr",20
"384","dime",41
"385","dime",34
"386","dime",42
"387","dime",47
"388","dime",39
"389","spsp",40
"390","dime",51
"391","dime",43
"392","dime",32
"393","dime",44
"394","dime",45
"395","dime",25
"396","dime",24
"397","dime",25
"398","onar",22
"399","dime",39
"400","nemi",96
"401","dime",37
"402","spsp",88
"403","pmtr",20
"404","nemi",150
"405","dime",44
"406","pmtr",21
"407","disp",94
"408","pmtr",25.5
"409","pmtr",21
"410","dime",40
"411","pmle",23
"412","pmtr",20
"413","neal",94
"414","pmtr",21
"415","disp",76
"416","dime",46
"417","dime",23
"418","pmle",21
"419","disp",80
"420","dime",20
"421","dime",46
"422","pmtr",19
"423","pmtr",26
"424","onar",20
"425","dime",55
"426","pmtr",24
"427","pmtr",20
"428","disp",100
"429","dime",26
"430","dime",47
"431","pmtr",23
"432","dime",39
"433","pmtr",20
"434","pmtr",20
"435","pmtr",26
"436","pmle",19
"437","pmtr",24
"438","pmtr",20
"439","dime",48
"440","pgfv",8
"441","pmtr",22
"442","pmtr",15
"443","neal",92
"444","dime",39
"445","pmtr",20.5
"446","pmle",25
"447","dime",50
"448","dime",35
"449","pmtr",20
"450","dime",42
"451","neal",20
"452","dime",43
"453","dime",34
"454","dime",33
"455","spsp",114
"456","dime",31
"457","pmtr",21
"458","pmtr",21.5
"459","pmer",16
"460","pmer",27
"461","neal",186
"462","dime",43
"463","dime",138
"464","spsp",97
"465","spsp",35
"466","neal",171
"467","dime",38.5
"468","neal",18
"469","pmtr",17
"470","neal",126
"471","pmtr",21
"472","pmle",73
"473","pmle",23
"474","pmtr",20
"475","neal",23
"476","spsp",100
"477","pmle",18
"478","neal",154
"479","onar",24
"480","dime",52
"481","dime",40
"482","dime",32
"483","dime",39
"484","pmer",23
"485","disp",118
"486","pmer",23
"487","dime",46
"488","dime",42
"489","dime",29
"490","dime",47
"491","dime",49
"492","dime",53
"493","dime",38
"494","onar",26
"495","pgfv",7
"496","dime",42
"497","dime",49
"498","dime",58
"499","dime",46
"500","dime",43
"501","dime",45
"502","dime",40
"503","dime",22
"504","dime",43
"505","dime",44
"506","dime",35
"507","dime",41
"508","dime",43
"509","pgfv",8
"510","dime",37
"511","dime",40
"512","remn",11
"513","dime",40
"514","dime",39
"515","dime",38
"516","disp",139
"517","dime",41
"518","dime",50
"519","onar",22
"520","onar",26
"521","dime",47
"522","dime",42
"523","dime",37
"524","dime",48
"525","dime",42
"526","dime",46
"527","disp",84
"528","dime",43
"529","dime",45
"530","dime",43
"531","pgfv",7
"532","disp",72
"533","pmer",21
"534","onar",15
"535","dime",35
"536","dime",48
"537","onar",12
"538","dime",48
"539","dime",37
"540","dime",40
"541","dime",45
"542","dime",37
"543","pgfv",8
"544","onar",25
"545","dime",39
"546","dime",44
"547","onar",23
"548","remn",9
"549","dime",39
"550","neal",92
"551","pgfv",4
"552","disp",118
"553","pgfv",8
"554","dime",44
"555","dime",34
"556","dime",32
"557","dime",38
"558","pgfv",9
"559","dime",33
"560","dime",42
"561","dime",49
"562","spsp",113
"563","pgfv",6
"564","dime",44
