"","species","weight"
"1","pmtr",28
"2","pmtr",31
"3","pmbo",30
"4","pmtr",28
"5","pmtr",26
"6","pmtr",28
"7","pmtr",26
"8","pmtr",32
"9","pmtr",33
"10","pmtr",29
"11","pmtr",29
"12","pmtr",25
"13","pmtr",28
"14","neal",130
"15","pmtr",28
"16","pmtr",36
"17","pmtr",31
"18","pmtr",28
"19","pmtr",33
"20","pmtr",34
"21","pmtr",31
"22","neal",167
"23","pmtr",25
"24","pmtr",33
"25","pmtr",28
"26","pmtr",36
"27","pmtr",31
"28","pmtr",36
"29","pmtr",28
"30","pmtr",27
"31","pmtr",30
"32","pmtr",32
"33","pmtr",32
"34","pmtr",34
"35","pmtr",29
"36","neal",74
"37","pmtr",34
"38","neal",170
"39","pmtr",21
"40","pmtr",30
"41","pmtr",39
"42","pmtr",31
"43","pmtr",30
"44","pmtr",31
"45","pmtr",29
"46","neal",94
"47","pmtr",36
"48","pmtr",27
"49","pmbo",31
"50","pmtr",29
"51","pmtr",30
"52","pmtr",26
"53","pmtr",26
"54","pmtr",24
"55","pmtr",31
"56","pmtr",26
"57","pmbo",29
"58","pgfv",9
"59","pmtr",24
"60","pmtr",28
"61","euqu",38
"62","euqu",35
"63","neal",148
"64","neal",76
"65","neal",89
"66","pmtr",30
"67","pmtr",26
"68","pmtr",28
"69","amin",51
"70","euqu",60
"71","pmtr",23.5
"72","pmbo",27
"73","pmtr",29
"74","pmtr",22
"75","pmtr",20
"76","pmtr",13
"77","pmtr",32
"78","neal",114
"79","neal",158
"80","pmtr",21
"81","pmtr",30
"82","chin",15
"83","chin",17
"84","pmtr",21
"85","pmtr",25
"86","pmtr",29
"87","pmtr",35
"88","euqu",74
"89","pmtr",30
"90","pmtr",25
"91","pmtr",26
"92","pmtr",27
"93","amin",80
"94","pmtr",23.7
"95","euqu",76.6
"96","pmtr",28
"97","pmtr",21
"98","pmtr",37
"99","pmtr",15
"100","pmdi",27
"101","pmtr",27
"102","pmtr",25
"103","pmtr",26
"104","neal",131
"105","pmtr",32
"106","pmtr",26
"107","pmtr",22.8
"108","neal",43
"109","neal",180
"110","pmtr",26
"111","pmtr",28
"112","neal",77
"113","pmtr",27
"114","pmdi",21
"115","pmdi",15
"116","neal",87
"117","pmbo",29
"118","pmbo",25
"119","pmtr",21
"120","pmtr",23
"121","pmbo",25
"122","pmtr",21
"123","pmtr",26
"124","pmtr",32
"125","euqu",58
"126","pmdi",25
"127","pmtr",25
"128","pmtr",22
"129","pmbo",25
"130","pmbo",18
"131","pmtr",29
"132","euqu",58
"133","pmtr",23
"134","pmtr",30
"135","pmtr",28
"136","pmtr",25
"137","neal",94
"138","pmtr",26
"139","neal",152
"140","pmbo",21
"141","pmtr",33
"142","pmbo",28
"143","pmbo",23
"144","neal",141
"145","pmtr",21
"146","pmtr",26
"147","pmtr",31
"148","pmbo",19
"149","pmtr",25
"150","pmbo",32
"151","neal",104
"152","neal",130
"153","pmbo",13
"154","pmbo",13
"155","neal",58
"156","neal",140
"157","pmtr",27
"158","neal",86
"159","pmtr",23
"160","pmdi",21
"161","neal",108
"162","pmtr",18
"163","pmtr",23
"164","pmtr",23
"165","pmtr",23
"166","pmbo",20
"167","pmtr",26
"168","pmbo",21
"169","pgfv",9
"170","pmtr",32
"171","pmbo",28
"172","euqu",39
"173","pmtr",35
"174","pmbo",22
"175","neal",88
"176","pmbo",23
"177","pmbo",19
"178","pmtr",24
"179","pmtr",24
"180","pmbo",12
"181","pmtr",34
"182","pmbo",18
"183","pmtr",26
"184","pmdi",19
"185","pmbo",22
"186","pmbo",18
"187","pmle",18
"188","chin",14
"189","pmtr",26
"190","pmtr",26
"191","pmtr",25
"192","pmdi",18
"193","pmtr",24
"194","pmtr",22
"195","neal",110
"196","pmtr",22
"197","pmbo",16
"198","neal",54
"199","pmtr",31
"200","pmtr",32
"201","pmtr",14
"202","pmtr",29
"203","pmbo",14
"204","euqu",54
"205","pmbo",21
"206","disp",92
"207","pmtr",24
"208","pmtr",25
"209","pmbo",30
"210","euqu",35
"211","pmtr",31
"212","pmtr",24
"213","pmtr",23
"214","pmtr",30
"215","pmtr",29
"216","pmbo",30
"217","pmdi",18
"218","neal",84
"219","pmtr",10
"220","pmtr",11
"221","pmtr",23
"222","pmtr",23
"223","pmtr",36
"224","neal",138
"225","pmtr",25
"226","pmbo",14
"227","pmtr",28
"228","pmtr",27
"229","pmtr",28
"230","pmtr",24
"231","pmtr",22
"232","pmtr",21
"233","pmtr",19
"234","pmtr",25
"235","pmtr",20
"236","neal",150
"237","pmbo",13
"238","pmtr",16
"239","pmtr",19
"240","pmtr",22
"241","pmtr",24
"242","pmtr",24
"243","neal",106
"244","pmle",21
"245","pmtr",31
"246","pmtr",25
"247","pmtr",23
"248","chin",15
"249","euqu",70
"250","pmtr",24
"251","pmtr",27
"252","pmtr",24
"253","neal",74
"254","euqu",53
"255","pmtr",19
"256","pmtr",25
"257","pmtr",17
"258","neal",104
"259","pmtr",23
"260","pmtr",16
"261","pmtr",24
"262","pmtr",26
"263","pmbo",23
"264","euqu",52
"265","pgfv",9
"266","pmbo",23
"267","pmbo",23
"268","pmbo",44
"269","pmbo",25
"270","pmbo",15
"271","pmbo",22
"272","neal",112
"273","neal",156
"274","pmtr",24
"275","pmtr",17
"276","pgfv",9
"277","pmtr",30
"278","pgfv",8
"279","euqu",33
"280","pmbo",23
"281","pmbo",20
"282","neal",86
"283","pmtr",23
"284","chin",15
"285","euqu",50
"286","euqu",32
"287","pmtr",26
"288","pmtr",26
"289","pmdi",19
"290","pmbo",14
"291","neal",130
"292","pmtr",22
"293","pmtr",22
"294","pmdi",20
"295","pmdi",29
"296","pmtr",24
"297","pmtr",23
"298","pmdi",22
"299","pmbo",24
"300","pmbo",17
"301","pmtr",25
"302","pmtr",29
"303","pmbo",22
"304","pmbo",11
"305","pmtr",21
"306","pmtr",21
"307","pmtr",26
"308","pmbo",11
"309","euqu",30
"310","euqu",34
"311","pmtr",27
"312","pmtr",26
"313","pmtr",21
"314","pmtr",27
"315","pmtr",25
"316","pmtr",24
"317","pmtr",23
"318","pmtr",26
"319","pmtr",28
"320","pmbo",11
"321","pmtr",26
"322","pmtr",24
"323","pmtr",21
"324","pgfv",7
"325","pgfv",9.5
"326","neal",152
"327","pmtr",29
"328","pmtr",27
"329","pmtr",22
"330","pgfv",6
"331","pmtr",28
"332","pmdi",28
"333","pgfv",10
"334","pmtr",25
"335","pmtr",31
"336","pmdi",26
"337","euqu",44
"338","pmdi",17
"339","pmtr",25
"340","pmtr",24
"341","pmtr",27
"342","pmtr",24
"343","pgfv",10
"344","pmbo",16
"345","pmtr",24.5
"346","neal",123
"347","pmbo",33
"348","pgfv",7
"349","pgfv",10.5
"350","pmbo",31
"351","pmbo",22
"352","pgfv",3
"353","pmtr",18
"354","pmtr",34
"355","pgfv",9
"356","pgfv",9
"357","pmtr",24
"358","euqu",59
"359","chin",14
"360","pmbo",35
"361","neal",102
"362","neal",156
"363","pmtr",29.5
"364","pmbo",16.5
"365","pmbo",13.5
"366","pgfv",10
"367","pmbo",22
"368","pmbo",22
"369","pgfv",6.5
"370","pmbo",15.5
"371","pmbo",32.5
"372","neal",127
"373","pmtr",25.5
"374","pgfv",8
"375","pmtr",31
"376","euqu",64
"377","neal",103
"378","neal",156
"379","pmtr",27.5
"380","neal",140.5
"381","pmtr",23
"382","pmtr",15
"383","pmtr",23
"384","pmtr",20
"385","pmtr",24
"386","pmtr",33
"387","pmtr",24
"388","pmtr",21
"389","pmtr",17
"390","pmtr",26
"391","pmtr",20
"392","chin",16
"393","pmtr",22
"394","pmtr",22
"395","pmtr",25
"396","pmtr",27
"397","pmtr",24
"398","neal",130
"399","pgfv",11
"400","chin",15
"401","pmtr",24
"402","pmtr",18
"403","euqu",55
"404","neal",110
"405","pmtr",26
"406","pmtr",24
"407","pmtr",19
"408","pmtr",21
"409","pmtr",27
"410","pmtr",29
"411","euqu",55
"412","euqu",56
"413","euqu",65
"414","neal",150
"415","pmtr",20
"416","pmtr",21
"417","pmbo",21
"418","pmbo",23
"419","pmtr",20
"420","pmtr",26
"421","pmtr",25
"422","pmtr",26
"423","neal",148
"424","neal",114
"425","pmtr",26
"426","pmtr",25
"427","pmtr",25
"428","pgfv",9
"429","pgfv",11
"430","pmtr",28
"431","pgfv",6
"432","pmtr",21
"433","pmtr",24
"434","pmtr",27
"435","pgfv",9
"436","pmtr",26
"437","pmtr",20
"438","pmtr",20
"439","pmtr",24
"440","neal",124
"441","pmtr",26
"442","pmtr",21
"443","pmtr",21
"444","pgfv",8
"445","pmtr",22
"446","neal",100
"447","pmtr",32
"448","pgfv",7
"449","chin",15
"450","pmtr",22
"451","pmtr",27
"452","neal",124
"453","pmtr",23
"454","pgfv",7
"455","pmtr",21
"456","chin",14
"457","neal",148
"458","pmtr",24
"459","pmtr",20
"460","pmtr",19
"461","neal",108
"462","pmtr",29
"463","pmtr",21
"464","pmtr",19
"465","pmtr",22
"466","pmtr",24
"467","pmtr",27
"468","pgfv",7
"469","neal",143
"470","pmtr",25
"471","pmtr",19
"472","pmtr",19
"473","pmtr",20
"474","pmtr",21
"475","pmtr",23
"476","pgfv",8
"477","pmtr",20
"478","pmtr",25
"479","pmbo",18
"480","pmtr",25
"481","pmtr",24
"482","pmdi",18
"483","pmdi",22
"484","pmtr",22
"485","pmtr",22
"486","neal",81
"487","pmtr",22
"488","pmtr",26
"489","pmtr",28
"490","pmtr",23
"491","pmtr",26
"492","pmtr",26
"493","pmtr",16
"494","pmtr",27
"495","pmtr",23
"496","neal",58
"497","pmtr",23
"498","pmbo",26
"499","neal",130
"500","pmtr",23
"501","pmtr",20
"502","pmtr",22
"503","neal",132
"504","pmtr",25
"505","pmtr",23
"506","pmbo",20
"507","pmtr",20
"508","pmtr",20
"509","pmtr",26
"510","pmtr",17
"511","pmtr",28
"512","pmtr",25
"513","pgfv",10
"514","pmtr",27
"515","pmtr",26
"516","pmtr",25
"517","pmtr",22
"518","pmtr",22
"519","neal",90
"520","pmtr",17
"521","pmbo",20
"522","pmdi",23
"523","euqu",28
"524","pmtr",24
"525","pmtr",19
"526","neal",127
"527","euqu",45
"528","pgfv",8
"529","pmbo",19
"530","pmtr",19
"531","pmbo",19
"532","pmbo",19
"533","pmtr",24
"534","neal",76
"535","pmtr",23
"536","pmtr",20
"537","pmtr",16
"538","pmtr",23
"539","pgfv",7
"540","pmtr",23
"541","pmtr",20
"542","pmtr",26
"543","neal",142
"544","pmtr",31
"545","neal",136
"546","pmtr",27
"547","pmtr",30
"548","pmbo",14
"549","pmtr",22
"550","pmtr",33
"551","neal",120
"552","pmtr",24
"553","pmtr",27
"554","pmtr",21
"555","pmtr",25
"556","pmbo",12
"557","pmtr",27
"558","euqu",54
"559","pmtr",22
"560","pmtr",31
"561","pmtr",23
"562","pmtr",31
"563","pmtr",21
"564","pmtr",24
"565","pmtr",24
"566","pmtr",28
"567","pmtr",27
"568","pmtr",30
"569","pmtr",30
"570","pmtr",28
"571","pmtr",31
"572","pmtr",25
"573","pmtr",25
"574","pmtr",17
"575","neal",132
"576","pmtr",29
"577","pmtr",34
"578","pmtr",29
"579","pmtr",28
"580","onar",27
"581","neal",177
"582","neal",101
"583","pmtr",26
"584","pmtr",33
"585","pmtr",31
"586","pmtr",30
"587","pmtr",33
"588","pmtr",28
"589","pmtr",32
"590","pmtr",18
"591","pmtr",32
"592","pmtr",35
"593","pmtr",22
"594","neal",140
"595","neal",150
"596","pgfv",11
"597","pgfv",9
"598","pmtr",32
"599","pmdi",21
"600","pgfv",10
"601","pgfv",8
"602","pgfv",10
