"","species","weight"
"1","pgfv",7
"2","dior",26
"3","pgfl",8
"4","dime",47
"5","onar",44
"6","onar",34
"7","chin",10
"8","dior",47
"9","dime",42
"10","pgfv",12
"11","pmma",19
"12","dior",47.5
"13","dior",52
"14","pgfl",9
"15","pgfl",13
"16","dior",30
"17","pgfv",7
"18","dior",43
"19","dime",40
"20","dior",47
"21","dior",36
"22","remg",12
"23","remg",6
"24","dior",27
"25","neal",100
"26","neal",58
"27","chin",11
"28","dime",47
"29","dior",56
"30","neal",195
"31","dior",25
"32","dior",44
"33","dior",49
"34","onle",41
"35","dior",48
"36","pmle",26
"37","dime",40
"38","onar",28
"39","dior",47
"40","dior",58
"41","onle",34
"42","dior",44
"43","dime",45
"44","onle",35
"45","dime",49
"46","remg",9
"47","remg",10
"48","dior",46
"49","neal",190
"50","onar",31
"51","dime",35
"52","onle",29
"53","dior",32
"54","dime",38
"55","onle",40
"56","dior",57
"57","dior",42
"58","onar",30
"59","onle",30
"60","dime",34
"61","dior",48
"62","dime",24
"63","dime",46
"64","dior",53
"65","onar",27
"66","pmtr",28
"67","onle",33
"68","neal",148
"69","dime",45
"70","onar",8
"71","dime",28
"72","neal",200
"73","dior",54
"74","remg",9
"75","neal",145
"76","dior",39
"77","neal",59
"78","pmma",16.5
"79","pmle",18
"80","dime",45
"81","dior",46
"82","onle",37
"83","onar",32
"84","onar",32
"85","dime",42
"86","dior",44
"87","dior",51
"88","pgfl",9
"89","dime",35
"90","onle",32
"91","neal",28
"92","dime",47
"93","pmle",16.5
"94","dime",24
"95","dior",53
"96","pgfv",4
"97","pmle",18
"98","dime",40
"99","remg",12
"100","dior",50
"101","pmle",11.5
"102","pgfv",6
"103","neal",130
"104","pgfl",9
"105","dior",28
"106","dior",25.5
"107","onar",31.5
"108","onar",37
"109","dior",46
"110","remg",6
"111","dior",44
"112","dior",46
"113","onar",42
"114","dior",52
"115","pgfl",13
"116","dior",49
"117","dior",54
"118","pgfl",10.5
"119","dior",53
"120","pgfl",9
"121","dime",48
"122","dior",49
"123","pgfl",11
"124","dime",49
"125","dior",49
"126","spsp",140
"127","neal",200
"128","dior",58
"129","dior",35
"130","remg",9.5
"131","dior",52.5
"132","dime",47
"133","pgfl",10
"134","onle",41
"135","onle",31.5
"136","neal",100
"137","pgfl",12
"138","dime",50
"139","dime",43
"140","pgfl",10
"141","dime",35
"142","dior",51
"143","dior",53
"144","onle",39
"145","dime",48
"146","onle",43
"147","dior",52
"148","pgfl",15
"149","dior",52.5
"150","dior",54
"151","dior",41
"152","onar",37
"153","dior",40
"154","dime",46
"155","pgfl",11
"156","dior",47
"157","dior",46.5
"158","dior",47
"159","dior",54
"160","dior",47
"161","onle",29
"162","dime",39
"163","spsp",97
"164","dior",50
"165","onar",35
"166","dime",48
"167","dime",50
"168","remg",14
"169","dime",43
"170","dior",55
"171","dior",56
"172","dior",43
"173","onle",36
"174","dior",59
"175","dior",57
"176","pgfl",11
"177","pgfl",12.5
"178","dior",48
"179","neal",70
"180","remg",13
"181","pgfl",10
"182","neal",150
"183","pgfl",13
"184","pgfl",10
"185","pgfl",13.5
"186","pgfl",14
"187","dior",60
"188","onar",30
"189","dior",42
"190","dior",51
"191","neal",200
"192","onle",42
"193","dime",33
"194","onar",41
"195","dior",42
"196","onar",35
"197","spsp",99
"198","dior",32
"199","dior",49
"200","remg",12
"201","dior",48
"202","dior",44
"203","remg",9
"204","dior",51.5
"205","dime",46
"206","dime",36
"207","dior",43
"208","dior",45
"209","dime",32
"210","dime",36
"211","pmle",27
"212","neal",80
"213","neal",100
"214","onle",34.5
"215","spsp",100
"216","onle",35
"217","neal",100
"218","dime",42
"219","neal",100
"220","onle",29.5
"221","dior",45
"222","onle",48
"223","neal",100
"224","dior",44
"225","onle",45.5
"226","dime",35
"227","onle",41.5
"228","onle",44
"229","dime",52
"230","pmle",19
"231","dime",36
"232","neal",100
"233","dior",52
"234","dior",52
"235","dime",39
"236","dime",45
"237","spsp",100
"238","neal",100
"239","dior",47
"240","neal",100
"241","dior",51
"242","dior",61
"243","onle",28.5
"244","dior",51
"245","dime",40
"246","dime",45
"247","pmle",10
"248","neal",90
"249","onle",27
"250","dior",45
"251","dior",43
"252","dime",35
"253","neal",100
"254","dior",48
"255","pmtr",24
"256","neal",100
"257","neal",204
"258","dime",25
"259","dime",50
"260","dior",37
"261","dime",36
"262","dior",48
"263","onar",24
"264","neal",100
"265","dime",44
"266","dime",31
"267","dime",54
"268","disp",100
"269","dior",52
"270","dime",23
"271","dime",35
"272","dime",33
"273","dime",40
"274","dior",49
"275","dior",38
"276","onle",38
"277","dime",40
"278","onle",32
"279","dior",30
"280","dior",57
"281","neal",100
"282","dior",48
"283","dime",37
"284","neal",100
"285","dior",43
"286","dior",49
"287","dior",49
"288","dior",58
"289","dime",29
"290","dior",50
"291","dior",56
"292","dior",39
"293","neal",70
"294","dior",48
"295","neal",100
"296","dior",28
"297","dime",40
"298","neal",100
"299","pmle",20
"300","pmle",36
"301","pmle",28
"302","onle",43
"303","pgfl",11
"304","dior",49
"305","neal",100
"306","dime",49
"307","pmle",25
"308","dime",39.5
"309","dime",38
"310","dime",39
"311","dior",35
"312","dior",44
"313","onle",38
"314","dior",54
"315","dior",61
"316","pgfl",11
"317","dime",34
"318","onle",41
"319","dior",58
"320","dior",49
"321","pmle",25
"322","pmle",28
"323","onle",39
"324","dime",36
"325","neal",100
"326","dior",46
"327","dior",52
"328","pgfl",11
"329","onle",31
"330","dime",31
"331","pmle",24
"332","dior",48
"333","onle",20
"334","onle",37
"335","dior",56
"336","dior",58
"337","dior",42
"338","dime",33
"339","dime",45
"340","neal",124
"341","dime",43
"342","dior",53
"343","dime",48
"344","pmtr",23
"345","pmle",26
"346","pgfl",11
"347","dior",50
"348","dime",38
"349","dior",55
"350","pmtr",22
"351","dior",40
"352","pmle",27.5
"353","pgfl",15
"354","dior",50
"355","dior",28.5
"356","dior",42
"357","dime",30
"358","dior",35
"359","dior",36
"360","onle",33
"361","pmma",28
"362","neal",121
"363","dior",46
"364","neal",140
"365","pgfl",12
"366","dime",43
"367","pmma",23
"368","pgfl",9
"369","pmle",27
"370","dior",45
"371","dior",20
"372","pmle",19
"373","dior",50
"374","dime",21
"375","dior",37
"376","dior",47
"377","dior",45
"378","dior",56
"379","onle",29
"380","pmle",17
"381","dior",51
"382","pmle",28
"383","dime",48
"384","dior",33
"385","dior",43
"386","pmle",25
"387","onar",35
"388","onle",21
"389","pmle",24
"390","pmle",21
"391","onle",29
"392","dior",47
"393","dior",50
"394","dime",40
"395","dior",47
"396","onle",28
"397","neal",136
"398","onle",33
"399","dior",50
"400","dior",30
"401","dime",38
"402","dime",52
"403","dior",45
"404","dime",32
"405","dime",41
"406","dior",49
"407","pmma",25
"408","dior",55
"409","pmtr",26
"410","neal",89
"411","pmle",28
"412","pgfv",8
"413","dime",30
"414","onle",19
"415","pgfl",10
"416","pgfl",11
"417","pgfl",12
"418","pmtr",24
"419","dime",32
"420","neal",158
"421","dior",48
"422","dime",20
"423","pgfl",9
"424","pmle",24
"425","pmle",19
"426","dior",45
"427","pmle",23
"428","dior",54
"429","onle",32
