"","species","weight"
"1","remg",10
"2","dime",36
"3","dior",31
"4","pmtr",15
"5","onar",20
"6","dime",44
"7","dime",29
"8","dime",46
"9","onar",17
"10","dime",35
"11","dime",34
"12","dime",43
"13","dime",44
"14","onar",27
"15","dime",45
"16","disp",94
"17","onar",29
"18","remg",10
"19","pmle",10
"20","pgfv",5
"21","dime",42
"22","dime",38
"23","dime",37
"24","dime",49
"25","dime",35
"26","dime",36
"27","dime",44
"28","spsp",25
"29","dime",48
"30","dime",46
"31","pgfv",6
"32","dime",38
"33","dime",21
"34","spsp",21
"35","pgfv",8
"36","dime",38
"37","pgfv",7
"38","dime",40
"39","dime",43
"40","dime",28
"41","dime",40
"42","dime",48
"43","dime",47
"44","dime",41
"45","dime",43
"46","dior",56
"47","pgfv",7
"48","pmtr",36
"49","remg",14
"50","pgfv",6
"51","pgfv",6.5
"52","dime",42.5
"53","pmer",22
"54","dime",36
"55","dime",36.5
"56","pgfv",7
"57","pgfv",7.5
"58","pgfv",8.5
"59","pgfv",8
"60","dime",42
"61","dime",39
"62","pgfv",7.5
"63","remg",9
"64","dime",22.5
"65","pgfv",7
"66","dime",36
"67","onar",9
"68","spsp",100
"69","dime",43
"70","pmma",13
"71","pgfv",6
"72","dime",45
"73","pgfv",8
"74","dime",38
"75","dime",34.5
"76","dior",50
"77","dime",41
"78","remn",10
"79","pgfv",5
"80","remn",10
"81","remg",8
"82","onar",21.5
"83","pgfv",6
"84","pgfv",7
"85","dime",43
"86","remn",8.5
"87","pgfv",5
"88","pgfv",5
"89","dime",44
"90","pgfv",5
"91","dime",48.5
"92","dime",36
"93","dime",45
"94","pgfv",8
"95","remg",14
"96","onle",31
"97","dime",47
"98","dime",39.5
"99","dior",37
"100","dime",41
"101","remn",10
"102","pgfv",8
"103","onar",32
"104","dime",42
"105","dime",45
"106","dime",43
"107","dime",47
"108","dime",37
"109","dime",42
"110","remn",9.5
"111","dior",38
"112","dime",45
"113","pgfv",6
"114","remg",12
"115","remg",15
"116","remg",11.5
"117","remg",12
"118","remg",9
"119","pgfv",10
"120","dime",43
"121","pgfv",9
"122","dime",44
"123","dime",40
"124","dime",48
"125","dime",43
"126","pgfv",9
"127","dime",45
"128","onle",24
"129","remg",9
"130","dime",45
"131","dime",43
"132","dime",43
"133","pgfv",7
"134","spsp",81
"135","pgfv",7
"136","dime",43
"137","dime",47
"138","dime",44
"139","pgfv",10.5
"140","pgfv",8
"141","dime",49
