"","species","weight"
"1","dime",47
"2","dime",41
"3","dior",46
"4","pmtr",28
"5","chin",18
"6","neal",98
"7","chin",10
"8","dior",28
"9","chin",11
"10","dior",42
"11","dime",48
"12","dime",38
"13","dime",39
"14","dime",47
"15","chin",10
"16","pgfv",7
"17","neal",185
"18","pgfv",8
"19","chin",9.5
"20","chin",15
"21","dime",44
"22","dior",15
"23","dior",48
"24","dime",37
"25","dime",42
"26","dior",15
"27","dime",49
"28","pmtr",35
"29","neal",233
"30","chin",13
"31","onar",25
"32","dime",40
"33","pgfv",7.5
"34","dime",48
"35","dime",41.5
"36","dime",40
"37","dime",46
"38","dime",39
"39","dime",41
"40","dime",51
"41","dime",39
"42","dime",39
"43","dime",40
"44","chin",15
"45","neal",28
"46","chin",10
"47","eudo",64
"48","chin",13.5
"49","dime",31
"50","pgfv",6
"51","chin",15
"52","dime",39
"53","dime",38
"54","chin",10
"55","chin",16
"56","pgfv",6
"57","dime",46
"58","pmtr",28.5
"59","pmtr",25
"60","chin",12
"61","pmtr",25
"62","onle",22.5
"63","onar",22
"64","pmtr",14
"65","pgfv",7
"66","dime",46
"67","pgfv",8
"68","chin",10.5
"69","pgfv",10
"70","chin",11
"71","dior",57
"72","neal",240
"73","dime",41
"74","neal",120
"75","eudo",61
"76","dime",48
"77","onle",38
"78","dime",18
"79","chin",12
"80","eudo",55
"81","pgfv",7.5
"82","dime",22
"83","eudo",59
"84","chin",13
"85","dime",48
"86","chin",17
"87","dime",42
"88","dime",34
"89","dime",41
"90","dime",37
"91","pgfv",5
"92","neal",200
"93","chin",11.5
"94","neal",230
"95","chin",16
"96","dime",40
"97","dime",33
"98","dime",45
"99","chin",15
"100","dime",33
"101","chin",15
"102","chin",13
"103","chin",12
"104","chin",11
"105","pmtr",34
"106","chin",15
"107","dime",17
"108","dime",33
"109","pmle",25.5
"110","dime",40
"111","dime",18
"112","pgfv",7
"113","pgfv",6.5
"114","pgfv",5
"115","dime",41
"116","dime",45
"117","dime",39
"118","dime",32
"119","dime",44
"120","chin",14
"121","dime",42
"122","dime",39
"123","dime",41
"124","pgfv",8
"125","pgfv",7
"126","pgfv",7
"127","dime",37.5
"128","dime",49
"129","chin",13
"130","neal",145
"131","dime",34
"132","chin",16
"133","dime",46
"134","dime",44
"135","dime",40
"136","dime",47
"137","pmtr",19
"138","chin",13
"139","dime",20
"140","pgfv",6
"141","chin",17
"142","dime",39
"143","dime",50
"144","chin",15
"145","dime",25
"146","neal",300
"147","chin",13
"148","neal",250
"149","dime",43
"150","pmtr",23
"151","neal",100
"152","pgfv",10
"153","chin",12.5
"154","pgfv",7
"155","dime",45
"156","dime",34
"157","dime",36
"158","neal",100
"159","dime",45
"160","dime",42
"161","neal",100
"162","dime",40
"163","dime",40
"164","chin",13
"165","chin",8.5
"166","chin",11
"167","dime",38
"168","dime",44
"169","dime",44
"170","dime",40
"171","eudo",43
"172","neal",100
"173","pgfv",6
"174","dime",39
"175","dime",38
"176","dime",40
"177","pgfv",3
"178","chin",8
"179","pmtr",22
"180","pmbo",16
"181","dime",39
"182","dime",24.5
"183","dime",40
"184","dime",36
"185","dime",33
"186","dime",40
"187","chin",14
"188","chin",12
"189","dime",38
"190","pgfv",7
"191","dime",36
"192","dime",30
"193","dime",40
"194","dime",33
"195","chin",4
"196","dime",29
"197","dime",38
"198","dime",34
"199","chin",16
"200","dime",38
"201","pgfv",6
